     SHIMADZU CORP.     
     TYPE MOC63u        
       SN D209413638    
       ID Z000          
     CODE 0041          
     DATE 23-03-07      
     TIME 09:25         
     PNO. 1             
     UNIT GRAM          
     MODE AUTO          
     TEMP 80C           
     STOP 0.01 %        
Wet W(g)     3.284      
 TIME       GRAM        
 00:00:00    3.284      
 00:00:01    3.284      
 00:00:02    3.284      
 00:00:03    3.284      
 00:00:04    3.284      
 00:00:05    3.284      
 00:00:06    3.284      
 00:00:07    3.284      
 00:00:08    3.283      
 00:00:09    3.283      
 00:00:10    3.282      
 00:00:11    3.281      
 00:00:12    3.280      
 00:00:13    3.278      
 00:00:14    3.277      
 00:00:15    3.275      
 00:00:16    3.273      
 00:00:17    3.272      
 00:00:18    3.270      
 00:00:19    3.268      
 00:00:20    3.267      
 00:00:21    3.265      
 00:00:22    3.264      
 00:00:23    3.262      
 00:00:24    3.261      
 00:00:25    3.260      
 00:00:26    3.258      
 00:00:27    3.257      
 00:00:28    3.256      
 00:00:29    3.255      
 00:00:30    3.254      
 00:00:31    3.253      
 00:00:32    3.252      
 00:00:33    3.251      
 00:00:34    3.250      
 00:00:35    3.250      
 00:00:36    3.249      
 00:00:37    3.248      
 00:00:38    3.248      
 00:00:39    3.247      
 00:00:40    3.247      
 00:00:41    3.246      
 00:00:42    3.246      
 00:00:43    3.245      
 00:00:44    3.245      
 00:00:45    3.245      
 00:00:46    3.244      
 00:00:47    3.244      
 00:00:48    3.244      
 00:00:49    3.243      
 00:00:50    3.243      
 00:00:51    3.243      
 00:00:52    3.243      
 00:00:53    3.242      
 00:00:54    3.242      
 00:00:55    3.242      
 00:00:56    3.242      
 00:00:57    3.242      
 00:00:58    3.241      
 00:00:59    3.241      
 00:01:00    3.241      
 00:01:01    3.241      
 00:01:02    3.241      
 00:01:03    3.240      
 00:01:04    3.240      
 00:01:05    3.240      
 00:01:06    3.240      
 00:01:07    3.240      
 00:01:08    3.240      
 00:01:09    3.240      
 00:01:10    3.239      
 00:01:11    3.239      
 00:01:12    3.239      
 00:01:13    3.239      
 00:01:14    3.239      
 00:01:15    3.239      
 00:01:16    3.238      
 00:01:17    3.238      
 00:01:18    3.238      
 00:01:19    3.238      
 00:01:20    3.238      
 00:01:21    3.238      
 00:01:22    3.238      
 00:01:23    3.238      
 00:01:24    3.237      
 00:01:25    3.237      
 00:01:26    3.237      
 00:01:27    3.237      
 00:01:28    3.237      
 00:01:29    3.237      
 00:01:30    3.237      
 00:01:31    3.237      
 00:01:32    3.236      
 00:01:33    3.236      
 00:01:34    3.236      
 00:01:35    3.236      
 00:01:36    3.236      
 00:01:37    3.236      
 00:01:38    3.236      
 00:01:39    3.236      
 00:01:40    3.235      
 00:01:41    3.235      
 00:01:42    3.235      
 00:01:43    3.235      
 00:01:44    3.235      
 00:01:45    3.235      
 00:01:46    3.235      
 00:01:47    3.235      
 00:01:48    3.235      
 00:01:49    3.235      
 00:01:50    3.234      
 00:01:51    3.234      
 00:01:52    3.234      
 00:01:53    3.234      
 00:01:54    3.234      
 00:01:55    3.234      
 00:01:56    3.234      
 00:01:57    3.234      
 00:01:58    3.234      
 00:01:59    3.234      
 00:02:00    3.234      
 00:02:01    3.234      
 00:02:02    3.233      
 00:02:03    3.233      
 00:02:04    3.233      
 00:02:05    3.233      
 00:02:06    3.233      
 00:02:07    3.233      
 00:02:08    3.233      
 00:02:09    3.233      
 00:02:10    3.233      
 00:02:11    3.233      
 00:02:12    3.232      
 00:02:13    3.232      
 00:02:14    3.232      
 00:02:15    3.232      
 00:02:16    3.232      
 00:02:17    3.232      
 00:02:18    3.232      
 00:02:19    3.232      
 00:02:20    3.232      
 00:02:21    3.232      
 00:02:22    3.232      
 00:02:23    3.231      
 00:02:24    3.231      
 00:02:25    3.231      
 00:02:26    3.231      
 00:02:27    3.231      
 00:02:28    3.231      
 00:02:29    3.231      
 00:02:30    3.231      
 00:02:31    3.231      
 00:02:32    3.230      
 00:02:33    3.230      
 00:02:34    3.230      
 00:02:35    3.230      
 00:02:36    3.230      
 00:02:37    3.230      
 00:02:38    3.230      
 00:02:39    3.230      
 00:02:40    3.230      
 00:02:41    3.230      
 00:02:42    3.229      
 00:02:43    3.229      
 00:02:44    3.229      
 00:02:45    3.229      
 00:02:46    3.229      
 00:02:47    3.229      
 00:02:48    3.229      
 00:02:49    3.229      
 00:02:50    3.229      
 00:02:51    3.229      
 00:02:52    3.228      
 00:02:53    3.228      
 00:02:54    3.228      
 00:02:55    3.228      
 00:02:56    3.228      
 00:02:57    3.228      
 00:02:58    3.228      
 00:02:59    3.228      
 00:03:00    3.227      
 00:03:01    3.227      
 00:03:02    3.227      
 00:03:03    3.227      
 00:03:04    3.227      
 00:03:05    3.227      
 00:03:06    3.227      
 00:03:07    3.227      
 00:03:08    3.226      
 00:03:09    3.226      
 00:03:10    3.226      
 00:03:11    3.226      
 00:03:12    3.226      
 00:03:13    3.226      
 00:03:14    3.226      
 00:03:15    3.226      
 00:03:16    3.225      
 00:03:17    3.225      
 00:03:18    3.225      
 00:03:19    3.225      
 00:03:20    3.225      
 00:03:21    3.225      
 00:03:22    3.225      
 00:03:23    3.225      
 00:03:24    3.224      
 00:03:25    3.224      
 00:03:26    3.224      
 00:03:27    3.224      
 00:03:28    3.224      
 00:03:29    3.224      
 00:03:30    3.224      
 00:03:31    3.224      
 00:03:32    3.224      
 00:03:33    3.223      
 00:03:34    3.223      
 00:03:35    3.223      
 00:03:36    3.223      
 00:03:37    3.223      
 00:03:38    3.223      
 00:03:39    3.223      
 00:03:40    3.223      
 00:03:41    3.223      
 00:03:42    3.223      
 00:03:43    3.222      
 00:03:44    3.222      
 00:03:45    3.222      
 00:03:46    3.222      
 00:03:47    3.222      
 00:03:48    3.222      
 00:03:49    3.222      
 00:03:50    3.222      
 00:03:51    3.222      
 00:03:52    3.221      
 00:03:53    3.221      
 00:03:54    3.221      
 00:03:55    3.221      
 00:03:56    3.221      
 00:03:57    3.221      
 00:03:58    3.221      
 00:03:59    3.220      
